rank,name,pos,team,composite_std,ppg_std,games,production_score_std,opportunity_score,oline_score,qb_quality_score,sos_score,durability_score,touches,targets,snaps
97,Bryce Young,QB,CAR,52.84,14.31,16,63.5,69.7,21.9,27.6,0.5435,100.0,54.0,0,964.0
98,Michael Pittman,WR,PIT,52.78,7.2,17,44.9,90.4,59.4,29.8,0.5016,100.0,80.0,111.0,860.0
99,Harold Fannin,TE,CLE,52.78,7.15,16,62.5,100.0,6.2,8.0,0.4661,89.5,79.0,107.0,786.0
100,Nico Collins,WR,HOU,52.73,10.35,15,66.1,56.3,18.8,36.7,0.5177,100.0,73.0,120.0,778.0
101,Philip Rivers,QB,FA,52.73,11.55,3,50.5,0.0,50.0,50.0,50.0,100.0,2.0,0,172.0
102,Jayden Daniels,QB,WAS,52.61,16.75,7,75.0,34.4,3.1,47.0,0.5403,100.0,58.0,0,405.0
103,Keon Coleman,WR,BUF,52.56,4.95,13,29.7,39.5,84.4,100.0,0.4919,100.0,38.0,59.0,515.0
104,Jacoby Brissett,QB,ARI,52.42,13.85,17,61.3,62.9,34.4,57.8,0.55,100.0,38.0,0,757.0
105,Kimani Vidal,RB,LAC,52.29,6.37,16,32.2,41.0,81.2,62.8,0.5113,100.0,171.0,22.0,467.0
106,Rashee Rice,WR,KC,52.03,6.07,16,37.3,43.1,78.1,82.0,0.4855,100.0,58.0,78.0,415.0
107,Brock Bowers,TE,LV,52.01,8.01,14,70.5,74.7,46.9,0.0,0.4887,100.0,66.0,86.0,605.0
108,DK Metcalf,WR,PIT,51.8,7.54,17,47.2,81.5,59.4,29.8,0.5016,100.0,61.0,99.0,776.0
109,Omarion Hampton,RB,LAC,51.75,6.48,16,32.8,37.4,81.2,62.8,0.5113,100.0,156.0,35.0,384.0
110,Brian Thomas,WR,JAX,51.54,6.49,14,40.1,57.3,9.4,77.6,0.5048,100.0,51.0,91.0,706.0
111,Troy Franklin,WR,DEN,51.51,6.59,17,40.8,49.4,100.0,61.5,0.4823,100.0,70.0,104.0,645.0
112,Geno Smith,QB,NYJ,51.36,12.73,15,56.0,73.2,37.5,14.9,0.4597,100.0,41.0,0,863.0
113,David Njoku,TE,LAC,50.81,4.44,12,37.2,55.6,81.2,62.8,0.5113,100.0,33.0,48.0,514.0
114,Jordan Mason,RB,MIN,50.34,7.18,16,36.6,45.4,65.6,42.2,0.4952,100.0,173.0,16.0,386.0
115,AJ Barner,TE,SEA,50.26,5.61,17,48.1,72.4,56.2,30.4,0.521,100.0,62.0,68.0,827.0
116,Keenan Allen,WR,IND,50.22,5.98,17,36.7,56.8,90.6,57.2,0.4758,100.0,81.0,122.0,592.0
117,Cole Kmet,TE,CHI,49.84,3.04,16,24.1,69.5,87.5,65.4,0.5306,100.0,30.0,48.0,719.0
